temperature_2m_(°C),relative_humidity_2m_(%),dew_point_2m_(°C),apparent_temperature_(°C),precipitation_(mm),rain_(mm),weather_code_(wmo_code),pressure_msl_(hPa),surface_pressure_(hPa),cloud_cover_(%),cloud_cover_low_(%),cloud_cover_mid_(%),cloud_cover_high_(%),et0_fao_evapotranspiration_(mm),vapour_pressure_deficit_(kPa),wind_speed_10m_(km/h),wind_speed_100m_(km/h),wind_direction_10m_(°),wind_direction_100m_(°),wind_gusts_10m_(km/h),soil_temperature_0_to_7cm_(°C),soil_temperature_7_to_28cm_(°C),soil_temperature_28_to_100cm_(°C),soil_temperature_100_to_255cm_(°C),soil_moisture_0_to_7cm_(m³/m³),soil_moisture_7_to_28cm_(m³/m³),soil_moisture_28_to_100cm_(m³/m³),soil_moisture_100_to_255cm_(m³/m³),pm10_(μg/m³),pm2_5_(μg/m³),carbon_monoxide_(μg/m³),nitrogen_dioxide_(μg/m³),sulphur_dioxide_(μg/m³),ozone_(μg/m³),uv_index_clear_sky,uv_index,dust_(μg/m³),aerosol_optical_depth,hour,dayofweek,month,is_weekend,is_night,sin_hour,cos_hour,pm2_5_(μg/m³)_lag1,pm10_(μg/m³)_lag1,ozone_(μg/m³)_lag1,dust_(μg/m³)_lag1,pm2_5_(μg/m³)_lag3,pm10_(μg/m³)_lag3,ozone_(μg/m³)_lag3,dust_(μg/m³)_lag3,pm2_5_(μg/m³)_lag6,pm10_(μg/m³)_lag6,ozone_(μg/m³)_lag6,dust_(μg/m³)_lag6,pm2_5_(μg/m³)_lag12,pm10_(μg/m³)_lag12,ozone_(μg/m³)_lag12,dust_(μg/m³)_lag12,pm2_5_(μg/m³)_lag24,pm10_(μg/m³)_lag24,ozone_(μg/m³)_lag24,dust_(μg/m³)_lag24,pm2_5_(μg/m³)_rollmean3,pm10_(μg/m³)_rollmean3,ozone_(μg/m³)_rollmean3,pm2_5_(μg/m³)_rollmean6,pm10_(μg/m³)_rollmean6,ozone_(μg/m³)_rollmean6,pm2_5_(μg/m³)_rollmean12,pm10_(μg/m³)_rollmean12,ozone_(μg/m³)_rollmean12,pm2_5_tier
0.4080717488789237,0.8987341772151899,0.8457711442786068,0.5614035087719298,0.018348623853211007,0.018348623853211007,4,0.4292452830188722,0.4292452830188722,1.0,0.0,1.0,1.0,0.0,0.05273833671399595,0.23076923076923078,0.3192019950124688,0.4066852367688022,0.47075208913649025,0.18984547461368653,0.23178807947019864,0.32592592592592595,0.26666666666666705,0.38888888888889106,0.9748953974895398,0.9117647058823528,0.42261904761904745,0.06666666666666643,0.023775727466288143,0.023332487953335028,0.009242490476487853,0.02248322147651007,0.019447287615148415,0.025590551181102362,0.0,0.0,0.0,0.024539877300613494,0,4,8,0,1,0.0,1.0,0.02485417195029166,0.02537260468417317,0.021653543307086614,0.0,0.02840476794319047,0.028921220723917673,0.018700787401574805,0.0,0.030180065939639872,0.030872959545777144,0.03937007874015748,0.0,0.03677402992645194,0.03761533002129169,0.0531496062992126,0.0,0.019908698960182603,0.022533711852377573,0.027559055118110236,0.2,0.026613197229310975,0.026985645933014356,0.022841787033926773,0.033045474966305596,0.03345634312769809,0.021799790722009067,0.045054171943154635,0.04569523435967836,0.05296356715606308,0
0.41255605381165916,0.9113924050632912,0.8557213930348259,0.5614035087719298,0.02293577981651376,0.02293577981651376,5,0.39622641509433976,0.39622641509434686,1.0,0.0,1.0,0.91,0.0,0.044624746450304266,0.27692307692307694,0.3915211970074812,0.49025069637883006,0.5236768802228413,0.20529801324503313,0.22847682119205304,0.3185185185185184,0.26666666666666705,0.38888888888889106,0.9790794979079498,0.9117647058823528,0.42261904761904745,0.06666666666666643,0.023243435060326473,0.022571645954856712,0.006682070817460813,0.01778523489932886,0.01842374616171955,0.02952755905511811,0.0,0.0,0.0,0.02147239263803681,1,4,8,0,1,0.25881904510252074,0.9659258262890683,0.023332487953335028,0.023775727466288143,0.025590551181102362,0.0,0.025868627948262748,0.026437189496096518,0.01968503937007874,0.0,0.03347704793304591,0.03424414478353442,0.018700787401574805,0.0,0.041592695916814616,0.042405961674946764,0.06496062992125984,0.0,0.01686533096626934,0.01889638041163946,0.028051181102362203,0.17500000000000002,0.025428363106088224,0.025837320574162683,0.026200873362445413,0.030899016622572762,0.03129786937752401,0.02371817230554587,0.04294357675531166,0.04357717199450872,0.0490483958673192,0
0.42152466367713004,0.8987341772151899,0.8557213930348259,0.5508771929824561,0.009174311926605503,0.009174311926605503,4,0.37264150943396146,0.37264150943396857,1.0,0.0,1.0,0.61,0.0,0.05476673427991888,0.4076923076923077,0.5211970074812967,0.596100278551532,0.6155988857938719,0.293598233995585,0.2251655629139072,0.3111111111111109,0.26666666666666705,0.38888888888889106,0.9748953974895398,0.9159663865546217,0.4285714285714284,0.06666666666666643,0.02217885024840312,0.021810803956378393,0.0054330856179354275,0.01442953020134228,0.016376663254861822,0.031496062992125984,0.0,0.0,0.0,0.02147239263803681,2,4,8,0,1,0.49999999999999994,0.8660254037844387,0.022571645954856712,0.023243435060326473,0.02952755905511811,0.0,0.02485417195029166,0.02537260468417317,0.021653543307086614,0.0,0.03220897793558205,0.03282469836763662,0.018700787401574805,0.0,0.04514329190971342,0.04595457771469127,0.07381889763779527,0.0,0.014202383971595234,0.01579134137686302,0.02854330708661417,0.15000000000000002,0.024334670069267227,0.024688995215311003,0.029559959690964057,0.028852393550641446,0.029209023812839432,0.02598535054063481,0.04035457999155762,0.04094920572661306,0.04437194127243067,0
0.4035874439461885,0.8481012658227848,0.8009950248756218,0.4982456140350877,0.0,0.0,3,0.3632075471698073,0.3632075471698144,0.99,0.0,0.23,0.99,0.023255813953488375,0.08316430020283976,0.5115384615384616,0.6209476309226932,0.6573816155988859,0.6629526462395544,0.4216335540838852,0.2152317880794702,0.3037037037037038,0.26666666666666705,0.38888888888889106,0.9686192468619248,0.9159663865546217,0.4285714285714284,0.06666666666666643,0.019517388218594747,0.0190210499619579,0.004683694498220196,0.011409395973154362,0.013988399863527805,0.033464566929133854,0.0,0.0,0.0,0.02147239263803681,3,4,8,0,1,0.7071067811865476,0.7071067811865476,0.021810803956378393,0.02217885024840312,0.031496062992125984,0.0,0.023332487953335028,0.023775727466288143,0.025590551181102362,0.0,0.02840476794319047,0.028921220723917673,0.018700787401574805,0.0,0.04590413390819174,0.04684173172462739,0.0826771653543307,0.0,0.013314734973370532,0.014460610361958833,0.02952755905511811,0.125,0.022785271600437473,0.023157894736842106,0.03224722875377897,0.02700544102231318,0.02736387689736805,0.028601325427275896,0.03737160545940622,0.03792900568738968,0.0389342033713975,0
0.38565022421524653,0.8607594936708861,0.7860696517412934,0.4982456140350877,0.0,0.0,3,0.3584905660377373,0.3584905660377373,1.0,0.03,0.88,1.0,0.011627906976744188,0.07302231237322516,0.3730769230769231,0.5087281795511222,0.6629526462395544,0.6601671309192201,0.4128035320088301,0.20860927152317876,0.28888888888888875,0.26666666666666705,0.38888888888889106,0.9644351464435146,0.9117647058823528,0.4285714285714284,0.06666666666666643,0.01721078779276082,0.016738523966522954,0.004808593018172734,0.009395973154362415,0.012623677925622653,0.03543307086614173,0.0,0.0,0.0,0.02147239263803681,4,4,8,0,1,0.8660254037844386,0.5000000000000001,0.0190210499619579,0.019517388218594747,0.033464566929133854,0.0,0.022571645954856712,0.023243435060326473,0.02952755905511811,0.0,0.025868627948262748,0.026437189496096518,0.01968503937007874,0.0,0.04184630991630739,0.042760823278921216,0.0826771653543307,0.0,0.012934313974131372,0.014105748757984385,0.02952755905511811,0.1,0.02068902661319723,0.020988835725677835,0.03426268055089016,0.025208406129885688,0.025553544074641416,0.03139169863969306,0.03458561981145349,0.03510492253383016,0.03371397498640566,0
0.3587443946188341,0.9113924050632912,0.7960199004975123,0.4982456140350877,0.0,0.0,3,0.3584905660377373,0.3584905660377373,1.0,0.01,0.47000000000000003,1.0,0.0,0.042596348884381345,0.24615384615384617,0.38154613466334164,0.6183844011142061,0.6128133704735377,0.2847682119205298,0.20198675496688745,0.2814814814814812,0.26666666666666705,0.38888888888889106,0.9602510460251046,0.9117647058823528,0.43452380952380976,0.06666666666666643,0.016855926188786372,0.01648490996703018,0.006057578217698119,0.01023489932885906,0.013988399863527805,0.0344488188976378,0.0,0.0,0.0,0.024539877300613494,5,4,8,0,1,0.9659258262890683,0.25881904510252074,0.016738523966522954,0.01721078779276082,0.03543307086614173,0.0,0.021810803956378393,0.02217885024840312,0.031496062992125984,0.0,0.02485417195029166,0.02537260468417317,0.021653543307086614,0.0,0.03474511793050977,0.035663591199432215,0.06594488188976377,0.0,0.013187927973624149,0.014371894960965224,0.027066929133858268,0.1,0.01877506379876048,0.01907496012759171,0.03527040644944575,0.023561124145160484,0.023882467622893745,0.033658876874782,0.03255944843112424,0.03302608354579329,0.03023382272974443,0
0.3811659192825113,0.9113924050632912,0.8159203980099502,0.5228070175438595,0.0,0.0,3,0.3679245283018844,0.3679245283018915,1.0,0.07,0.9400000000000001,0.98,0.0,0.04868154158215011,0.2576923076923077,0.399002493765586,0.5988857938718664,0.5988857938718664,0.18984547461368653,0.19867549668874163,0.2740740740740737,0.26666666666666705,0.38888888888889106,0.9581589958158996,0.9075630252100839,0.43452380952380976,0.06666666666666643,0.017033356990773598,0.01648490996703018,0.008055954536938737,0.012583892617449664,0.01671784373933811,0.033464566929133854,0.0,0.0,0.0,0.024539877300613494,6,4,8,0,0,1.0,6.123233995736766e-17,0.01648490996703018,0.016855926188786372,0.0344488188976378,0.0,0.0190210499619579,0.019517388218594747,0.033464566929133854,0.0,0.023332487953335028,0.023775727466288143,0.025590551181102362,0.0,0.030180065939639872,0.030872959545777144,0.03937007874015748,0.0,0.013568348972863301,0.014726756564939672,0.024606299212598423,0.07500000000000001,0.01786365293474298,0.018181818181818184,0.03527040644944575,0.022213347975839865,0.02255953209859351,0.035054063480990584,0.031039819895877303,0.03149637183761522,0.029581294181620445,0
0.3946188340807174,0.8860759493670886,0.8159203980099502,0.5403508771929824,0.0,0.0,3,0.3915094339622627,0.3915094339622698,1.0,0.02,1.0,1.0,0.03488372093023256,0.05882352941176471,0.2,0.32169576059850374,0.67966573816156,0.6490250696378831,0.18322295805739516,0.2251655629139072,0.2740740740740737,0.26666666666666705,0.38888888888889106,0.9623430962343096,0.9327731092436973,0.4464285714285716,0.06666666666666643,0.018275372604684172,0.018006593963986815,0.008992693436582776,0.014932885906040269,0.015353121801432957,0.03248031496062992,0.032846715328467155,0.011406844106463877,0.0,0.027607361963190184,7,4,8,0,0,0.9659258262890683,-0.25881904510252063,0.01648490996703018,0.017033356990773598,0.033464566929133854,0.0,0.016738523966522954,0.01721078779276082,0.03543307086614173,0.0,0.022571645954856712,0.023243435060326473,0.02952755905511811,0.0,0.03347704793304591,0.03424414478353442,0.018700787401574805,0.0,0.020796347958407308,0.02146912704045422,0.03248031496062992,0.0,0.01831935836675173,0.01856459330143541,0.03426268055089016,0.021314830529626117,0.021584737501740704,0.0355772584583188,0.02932320247643169,0.029731319866640522,0.03110386079390973,0
0.42152466367713004,0.8607594936708861,0.8258706467661691,0.5754385964912281,0.0,0.0,3,0.4339622641509422,0.4339622641509422,1.0,0.0,0.9500000000000001,1.0,0.08139534883720931,0.08113590263691685,0.13076923076923078,0.22194513715710723,0.6991643454038997,0.6601671309192201,0.16556291390728475,0.23509933774834435,0.2666666666666666,0.26666666666666705,0.38888888888889106,0.9581589958158996,0.9285714285714284,0.45238095238095255,0.06666666666666643,0.021291696238467,0.020796347958407308,0.010678823455942047,0.016442953020134227,0.017400204708290685,0.03248031496062992,0.14233576642335768,0.03802281368821293,0.0,0.027607361963190184,8,4,8,0,0,0.8660254037844387,-0.4999999999999998,0.018006593963986815,0.018275372604684172,0.03248031496062992,0.0,0.01648490996703018,0.016855926188786372,0.0344488188976378,0.0,0.021810803956378393,0.02217885024840312,0.031496062992125984,0.0,0.03220897793558205,0.03282469836763662,0.018700787401574805,0.0,0.02104996195790008,0.021646557842441447,0.03248031496062992,0.0,0.01986875683558148,0.020159489633173842,0.033590863285186436,0.021115159986023063,0.021410667038016987,0.03575165678409487,0.028056845363725907,0.028456560109825453,0.03262642740619902,0
0.46636771300448443,0.7848101265822786,0.8258706467661691,0.5824561403508772,0.0,0.0,3,0.43867924528301927,0.43867924528301927,1.0,0.0,1.0,1.0,0.186046511627907,0.12373225152129819,0.3384615384615385,0.31670822942643384,0.596100278551532,0.596100278551532,0.31788079470198677,0.2582781456953642,0.2666666666666666,0.26666666666666705,0.38888888888889106,0.9539748953974896,0.9243697478991595,0.45238095238095255,0.06666666666666643,0.022711142654364795,0.02231803195536394,0.012989446075064009,0.0186241610738255,0.02047082906857728,0.031496062992125984,0.35036496350364965,0.09505703422053231,0.0,0.027607361963190184,9,4,8,0,0,0.7071067811865476,-0.7071067811865475,0.020796347958407308,0.021291696238467,0.03248031496062992,0.0,0.01648490996703018,0.017033356990773598,0.033464566929133854,0.0,0.0190210499619579,0.019517388218594747,0.033464566929133854,0.0,0.02840476794319047,0.028921220723917673,0.018700787401574805,0.0,0.01851382196297236,0.019162526614620295,0.033464566929133854,0.0,0.021965001822821732,0.022200956937799044,0.0329190460194827,0.02176408925273299,0.022037320707422363,0.03540286013254273,0.02738145490361615,0.027770151010001964,0.03404023926046765,0
